2018-12-11T07:04:56.416+0000 I CONTROL  [main] ***** SERVER RESTARTED *****
2018-12-12T11:10:36.684+0000 I CONTROL  [LogicalSessionCacheRefresh] Sessions collection is not set up; waiting until next sessions refresh interval: timed out
2018-12-12T11:10:36.684+0000 I CONTROL  [LogicalSessionCacheReap] Sessions collection is not set up; waiting until next sessions reap interval: timed out
2018-12-12T11:10:37.618+0000 I NETWORK  [conn29] end connection 172.17.0.7:52074 (6 connections now open)
2018-12-12T11:10:38.570+0000 I NETWORK  [conn31] end connection 172.17.0.8:42484 (5 connections now open)
2018-12-12T11:10:39.667+0000 I NETWORK  [conn23] end connection 172.17.0.9:58286 (4 connections now open)
2018-12-12T11:10:39.975+0000 I NETWORK  [conn11] end connection 172.17.0.9:58052 (3 connections now open)
2018-12-12T11:10:39.975+0000 I ASIO     [RS] Ending connection to host 172.17.0.9:27018 due to bad connection status; 1 connections to that host remain open
2018-12-12T11:10:39.975+0000 I REPL     [replication-0] Restarting oplog query due to error: HostUnreachable: error in fetcher batch callback :: caused by :: Connection was closed. Last fetched optime (with hash): { ts: Timestamp(1544613036, 1), t: 3 }[-8135217879329888151]. Restarts remaining: 1
2018-12-12T11:10:39.975+0000 I REPL     [replication-0] Scheduled new oplog query Fetcher source: 172.17.0.9:27018 database: local query: { find: "oplog.rs", filter: { ts: { $gte: Timestamp(1544613036, 1) } }, tailable: true, oplogReplay: true, awaitData: true, maxTimeMS: 2000, batchSize: 13981010, term: 3, readConcern: { afterClusterTime: Timestamp(1544613036, 1) } } query metadata: { $replData: 1, $oplogQueryData: 1, $readPreference: { mode: "secondaryPreferred" } } active: 1 findNetworkTimeout: 7000ms getMoreNetworkTimeout: 10000ms shutting down?: 0 first: 1 firstCommandScheduler: RemoteCommandRetryScheduler request: RemoteCommand 128 -- target:172.17.0.9:27018 db:local cmd:{ find: "oplog.rs", filter: { ts: { $gte: Timestamp(1544613036, 1) } }, tailable: true, oplogReplay: true, awaitData: true, maxTimeMS: 2000, batchSize: 13981010, term: 3, readConcern: { afterClusterTime: Timestamp(1544613036, 1) } } active: 1 callbackHandle.valid: 1 callbackHandle.cancelled: 0 attempt: 1 retryPolicy: RetryPolicyImpl maxAttempts: 1 maxTimeMillis: -1ms
2018-12-12T11:10:39.975+0000 I ASIO     [RS] Ending connection to host 172.17.0.9:27018 due to bad connection status; 0 connections to that host remain open
2018-12-12T11:10:39.975+0000 I REPL     [replication-1] Error returned from oplog query (no more query restarts left): HostUnreachable: error in fetcher batch callback :: caused by :: Connection was closed
2018-12-12T11:10:39.975+0000 W REPL     [rsBackgroundSync] Fetcher stopped querying remote oplog with error: HostUnreachable: error in fetcher batch callback :: caused by :: Connection was closed
2018-12-12T11:10:39.975+0000 I REPL     [rsBackgroundSync] Clearing sync source 172.17.0.9:27018 to choose a new one.
2018-12-12T11:10:39.976+0000 I REPL     [rsBackgroundSync] could not find member to sync from
2018-12-12T11:10:39.976+0000 I ASIO     [Replication] dropping unhealthy pooled connection to 172.17.0.9:27018
2018-12-12T11:10:39.976+0000 I ASIO     [Replication] after drop, pool was empty, going to spawn some connections
2018-12-12T11:10:39.976+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
2018-12-12T11:10:39.976+0000 I ASIO     [Replication] Failed to connect to 172.17.0.9:27018 - HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:10:39.976+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.9:27018 due to HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:10:39.976+0000 I REPL_HB  [replexec-2] Error in heartbeat (requestId: 129) to 172.17.0.9:27018, response status: HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:10:39.977+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
2018-12-12T11:10:39.977+0000 I ASIO     [Replication] Failed to connect to 172.17.0.9:27018 - HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:10:39.977+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.9:27018 due to HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:10:39.977+0000 I REPL_HB  [replexec-5] Error in heartbeat (requestId: 131) to 172.17.0.9:27018, response status: HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:10:39.978+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
2018-12-12T11:10:39.978+0000 I ASIO     [Replication] Failed to connect to 172.17.0.9:27018 - HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:10:39.978+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.9:27018 due to HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:10:39.978+0000 I REPL_HB  [replexec-1] Error in heartbeat (requestId: 132) to 172.17.0.9:27018, response status: HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:10:39.978+0000 I REPL     [replexec-1] Member 172.17.0.9:27018 is now in state RS_DOWN
2018-12-12T11:10:40.478+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
2018-12-12T11:10:40.978+0000 I NETWORK  [conn19] end connection 172.17.0.10:37210 (2 connections now open)
2018-12-12T11:10:41.323+0000 I NETWORK  [conn18] end connection 172.17.0.10:37200 (1 connection now open)
2018-12-12T11:10:41.477+0000 I ASIO     [Replication] dropping unhealthy pooled connection to 172.17.0.10:27018
2018-12-12T11:10:41.477+0000 I ASIO     [Replication] after drop, pool was empty, going to spawn some connections
2018-12-12T11:10:41.477+0000 I ASIO     [Replication] Connecting to 172.17.0.10:27018
2018-12-12T11:10:41.694+0000 I REPL     [SyncSourceFeedback] SyncSourceFeedback error sending update to 172.17.0.9:27018: InvalidSyncSource: Sync source was cleared. Was 172.17.0.9:27018
2018-12-12T11:10:41.730+0000 I CONTROL  [signalProcessingThread] got signal 15 (Terminated), will terminate after current cmd ends
2018-12-12T11:10:41.730+0000 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
2018-12-12T11:10:41.731+0000 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27018.sock
2018-12-12T11:10:41.731+0000 I REPL     [signalProcessingThread] shutting down replication subsystems
2018-12-12T11:10:41.731+0000 I REPL     [signalProcessingThread] Stopping replication reporter thread
2018-12-12T11:10:41.731+0000 I REPL     [signalProcessingThread] Stopping replication fetcher thread
2018-12-12T11:10:41.731+0000 I REPL     [signalProcessingThread] Stopping replication applier thread
2018-12-12T11:10:41.731+0000 I REPL     [rsSync-0] Finished oplog application
2018-12-12T11:10:41.976+0000 I REPL     [rsBackgroundSync] Stopping replication producer
2018-12-12T11:10:41.976+0000 I REPL     [signalProcessingThread] Stopping replication storage threads
2018-12-12T11:10:41.976+0000 I ASIO     [RS] Killing all outstanding egress activity.
2018-12-12T11:10:41.977+0000 I ASIO     [RS] Killing all outstanding egress activity.
2018-12-12T11:10:41.977+0000 I ASIO     [RS] Dropping all pooled connections to 172.17.0.9:27018 due to ShutdownInProgress: Shutting down the connection pool
2018-12-12T11:10:41.978+0000 I ASIO     [Replication] Killing all outstanding egress activity.
2018-12-12T11:10:41.978+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.10:27018 due to ShutdownInProgress: Shutting down the connection pool
2018-12-12T11:10:41.978+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.9:27018 due to ShutdownInProgress: Shutting down the connection pool
2018-12-12T11:10:41.978+0000 I ASIO     [ShardRegistry] Killing all outstanding egress activity.
2018-12-12T11:10:41.978+0000 I ASIO     [ShardRegistry] Dropping all pooled connections to 172.17.0.9:27018 due to ShutdownInProgress: Shutting down the connection pool
2018-12-12T11:10:41.978+0000 I ASIO     [ShardRegistry] Dropping all pooled connections to 172.17.0.3:27019 due to ShutdownInProgress: Shutting down the connection pool
2018-12-12T11:10:41.978+0000 I ASIO     [ShardRegistry] Dropping all pooled connections to 172.17.0.5:27019 due to ShutdownInProgress: Shutting down the connection pool
2018-12-12T11:10:41.978+0000 I ASIO     [TaskExecutorPool-0] Killing all outstanding egress activity.
2018-12-12T11:10:41.979+0000 W SHARDING [signalProcessingThread] error encountered while cleaning up distributed ping entry for e63afbe10c9c:27018:1544612980:8959700250337188723 :: caused by :: ShutdownInProgress: Shutdown in progress
2018-12-12T11:10:43.901+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Marking host 172.17.0.3:27019 as failed :: caused by :: Location40356: connection pool: connect failed 172.17.0.3:27019 : couldn't connect to server 172.17.0.3:27019, connection attempt failed: SocketException: Error connecting to 172.17.0.3:27019 :: caused by :: Connection timed out
2018-12-12T11:10:43.902+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Marking host 172.17.0.4:27019 as failed :: caused by :: ShutdownInProgress: connection pool is in shutdown
2018-12-12T11:10:43.902+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Marking host 172.17.0.5:27019 as failed :: caused by :: ShutdownInProgress: connection pool is in shutdown
2018-12-12T11:10:43.902+0000 W NETWORK  [ReplicaSetMonitor-TaskExecutor] Unable to reach primary for set rs_configsvr
2018-12-12T11:10:43.902+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Cannot reach any nodes for set rs_configsvr. Please check network connectivity and the status of the set. This has happened for 1 checks in a row.
2018-12-12T11:10:43.902+0000 I ASIO     [ReplicaSetMonitor-TaskExecutor] Killing all outstanding egress activity.
2018-12-12T11:10:43.902+0000 W SHARDING [signalProcessingThread] cant reload ShardRegistry  :: caused by :: CallbackCanceled: Callback canceled
2018-12-12T11:10:43.902+0000 I ASIO     [shard registry reload] Killing all outstanding egress activity.
2018-12-12T11:10:43.902+0000 I CONTROL  [signalProcessingThread] Shutting down free monitoring
2018-12-12T11:10:43.902+0000 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
2018-12-12T11:10:43.903+0000 I STORAGE  [WTOplogJournalThread] oplog journal thread loop shutting down
2018-12-12T11:10:43.903+0000 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
2018-12-12T11:10:44.176+0000 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
2018-12-12T11:10:44.176+0000 I CONTROL  [signalProcessingThread] now exiting
2018-12-12T11:10:44.176+0000 I CONTROL  [signalProcessingThread] shutting down with code:0
2018-12-12T11:11:24.855+0000 I CONTROL  [main] ***** SERVER RESTARTED *****
2018-12-12T11:11:24.869+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27018 dbpath=/data/db 64-bit host=e63afbe10c9c
2018-12-12T11:11:24.869+0000 I CONTROL  [initandlisten] db version v4.0.4
2018-12-12T11:11:24.869+0000 I CONTROL  [initandlisten] git version: f288a3bdf201007f3693c58e140056adf8b04839
2018-12-12T11:11:24.869+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
2018-12-12T11:11:24.869+0000 I CONTROL  [initandlisten] allocator: tcmalloc
2018-12-12T11:11:24.869+0000 I CONTROL  [initandlisten] modules: none
2018-12-12T11:11:24.869+0000 I CONTROL  [initandlisten] build environment:
2018-12-12T11:11:24.869+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
2018-12-12T11:11:24.869+0000 I CONTROL  [initandlisten]     distarch: x86_64
2018-12-12T11:11:24.870+0000 I CONTROL  [initandlisten]     target_arch: x86_64
2018-12-12T11:11:24.870+0000 I CONTROL  [initandlisten] options: { config: "/data/db/mongod.conf", net: { bindIpAll: true }, replication: { replSetName: "rs_shardsvr1" }, security: { authorization: "enabled", keyFile: "/data/db/key.file" }, sharding: { clusterRole: "shardsvr" }, storage: { dbPath: "/data/db", wiredTiger: { engineConfig: { cacheSizeGB: 0.25 } } }, systemLog: { destination: "file", logAppend: true, path: "/data/db/log/shards.log" } }
2018-12-12T11:11:24.870+0000 I STORAGE  [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2018-12-12T11:11:24.870+0000 I STORAGE  [initandlisten] 
2018-12-12T11:11:24.870+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
2018-12-12T11:11:24.870+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
2018-12-12T11:11:24.870+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=256M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2018-12-12T11:11:25.765+0000 I STORAGE  [initandlisten] WiredTiger message [1544613085:765489][1:0x7fe6908dca40], txn-recover: Main recovery loop: starting at 3/11520 to 4/256
2018-12-12T11:11:25.765+0000 I STORAGE  [initandlisten] WiredTiger message [1544613085:765859][1:0x7fe6908dca40], txn-recover: Recovering log 3 through 4
2018-12-12T11:11:25.880+0000 I STORAGE  [initandlisten] WiredTiger message [1544613085:880432][1:0x7fe6908dca40], txn-recover: Recovering log 4 through 4
2018-12-12T11:11:25.940+0000 I STORAGE  [initandlisten] WiredTiger message [1544613085:940108][1:0x7fe6908dca40], txn-recover: Set global recovery timestamp: 5c10ecac00000001
2018-12-12T11:11:26.254+0000 I RECOVERY [initandlisten] WiredTiger recoveryTimestamp. Ts: Timestamp(1544613036, 1)
2018-12-12T11:11:26.255+0000 I STORAGE  [initandlisten] Triggering the first stable checkpoint. Initial Data: Timestamp(1544613036, 1) PrevStable: Timestamp(0, 0) CurrStable: Timestamp(1544613036, 1)
2018-12-12T11:11:26.321+0000 I STORAGE  [initandlisten] Starting OplogTruncaterThread local.oplog.rs
2018-12-12T11:11:26.321+0000 I STORAGE  [initandlisten] The size storer reports that the oplog contains 41 records totaling to 5274 bytes
2018-12-12T11:11:26.321+0000 I STORAGE  [initandlisten] Scanning the oplog to determine where to place markers for truncation
2018-12-12T11:11:26.403+0000 I CONTROL  [initandlisten] 
2018-12-12T11:11:26.403+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
2018-12-12T11:11:26.403+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
2018-12-12T11:11:26.403+0000 I CONTROL  [initandlisten] 
2018-12-12T11:11:26.403+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/defrag is 'always'.
2018-12-12T11:11:26.403+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
2018-12-12T11:11:26.403+0000 I CONTROL  [initandlisten] 
2018-12-12T11:11:26.538+0000 I SHARDING [initandlisten] initializing sharding state with: { shardName: "rs_shardsvr1", clusterId: ObjectId('5c10ea36119cfa0f451f54d2'), configsvrConnectionString: "rs_configsvr/172.17.0.3:27019,172.17.0.4:27019,172.17.0.5:27019" }
2018-12-12T11:11:26.538+0000 I NETWORK  [initandlisten] Starting new replica set monitor for rs_configsvr/172.17.0.3:27019,172.17.0.4:27019,172.17.0.5:27019
2018-12-12T11:11:26.539+0000 I SHARDING [initandlisten] Finished initializing sharding components for secondary node.
2018-12-12T11:11:26.539+0000 I SHARDING [thread1] creating distributed lock ping thread for process e63afbe10c9c:27018:1544613086:5264476910735437651 (sleeping for 30000ms)
2018-12-12T11:11:26.559+0000 I NETWORK  [shard registry reload] Successfully connected to 172.17.0.3:27019 (1 connections now open to 172.17.0.3:27019 with a 5 second timeout)
2018-12-12T11:11:26.559+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to 172.17.0.5:27019 (1 connections now open to 172.17.0.5:27019 with a 5 second timeout)
2018-12-12T11:11:26.559+0000 I NETWORK  [initandlisten] Successfully connected to 172.17.0.4:27019 (1 connections now open to 172.17.0.4:27019 with a 5 second timeout)
2018-12-12T11:11:26.560+0000 W NETWORK  [initandlisten] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:26.560+0000 I ASIO     [ShardRegistry] Connecting to 172.17.0.3:27019
2018-12-12T11:11:26.560+0000 I ASIO     [ShardRegistry] Connecting to 172.17.0.4:27019
2018-12-12T11:11:26.560+0000 I ASIO     [ShardRegistry] Connecting to 172.17.0.3:27019
2018-12-12T11:11:27.061+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:27.562+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:28.063+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:28.565+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:29.066+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:29.567+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:30.068+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:30.569+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:31.071+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:31.572+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:32.073+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:32.575+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:33.076+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:33.577+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:34.078+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:34.580+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:35.081+0000 W NETWORK  [replSetDistLockPinger] Unable to reach primary for set rs_configsvr
2018-12-12T11:11:35.582+0000 I ASIO     [ShardRegistry] Connecting to 172.17.0.3:27019
2018-12-12T11:11:35.979+0000 I NETWORK  [shard registry reload] Starting new replica set monitor for rs_shardsvr0/172.17.0.6:27018,172.17.0.7:27018,172.17.0.8:27018
2018-12-12T11:11:35.979+0000 I NETWORK  [shard registry reload] Starting new replica set monitor for rs_shardsvr1/172.17.0.10:27018,172.17.0.11:27018,172.17.0.9:27018
2018-12-12T11:11:35.980+0000 W NETWORK  [ReplicaSetMonitor-TaskExecutor] Unable to reach primary for set rs_shardsvr0
2018-12-12T11:11:35.980+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Cannot reach any nodes for set rs_shardsvr0. Please check network connectivity and the status of the set. This has happened for 1 checks in a row.
2018-12-12T11:11:35.981+0000 W NETWORK  [ReplicaSetMonitor-TaskExecutor] Unable to reach primary for set rs_shardsvr1
2018-12-12T11:11:35.981+0000 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Cannot reach any nodes for set rs_shardsvr1. Please check network connectivity and the status of the set. This has happened for 1 checks in a row.
2018-12-12T11:11:35.981+0000 W SHARDING [replSetDistLockPinger] pinging failed for distributed lock pinger :: caused by :: LockStateChangeFailed: findAndModify query predicate didn't match any lock document
2018-12-12T11:11:37.980+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
2018-12-12T11:11:37.982+0000 I REPL     [initandlisten] Rollback ID is 1
2018-12-12T11:11:37.983+0000 I REPL     [initandlisten] Recovering from stable timestamp: Timestamp(1544613036, 1) (top of oplog: { ts: Timestamp(1544613036, 1), t: 3 }, appliedThrough: { ts: Timestamp(0, 0), t: -1 }, TruncateAfter: Timestamp(0, 0))
2018-12-12T11:11:37.983+0000 I REPL     [initandlisten] Starting recovery oplog application at the stable timestamp: Timestamp(1544613036, 1)
2018-12-12T11:11:37.983+0000 I REPL     [initandlisten] No oplog entries to apply for recovery. Start point is at the top of the oplog.
2018-12-12T11:11:37.984+0000 I NETWORK  [initandlisten] waiting for connections on port 27018
2018-12-12T11:11:37.984+0000 I REPL     [replexec-0] New replica set config in use: { _id: "rs_shardsvr1", version: 1, protocolVersion: 1, writeConcernMajorityJournalDefault: true, members: [ { _id: 0, host: "172.17.0.9:27018", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 1, host: "172.17.0.10:27018", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 2, host: "172.17.0.11:27018", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 } ], settings: { chainingAllowed: true, heartbeatIntervalMillis: 2000, heartbeatTimeoutSecs: 10, electionTimeoutMillis: 10000, catchUpTimeoutMillis: -1, catchUpTakeoverDelayMillis: 30000, getLastErrorModes: {}, getLastErrorDefaults: { w: 1, wtimeout: 0 }, replicaSetId: ObjectId('5c10eaaaff568f0b06de2e06') } }
2018-12-12T11:11:37.984+0000 I REPL     [replexec-0] This node is 172.17.0.11:27018 in the config
2018-12-12T11:11:37.984+0000 I REPL     [replexec-0] transition to STARTUP2 from STARTUP
2018-12-12T11:11:37.984+0000 I NETWORK  [listener] connection accepted from 172.17.0.11:34282 #9 (1 connection now open)
2018-12-12T11:11:37.985+0000 I REPL     [replexec-0] Starting replication storage threads
2018-12-12T11:11:37.985+0000 I NETWORK  [conn9] received client metadata from 172.17.0.11:34282 conn9: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-12T11:11:37.986+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
2018-12-12T11:11:37.986+0000 I ASIO     [Replication] Connecting to 172.17.0.10:27018
2018-12-12T11:11:37.987+0000 I ASIO     [Replication] Failed to connect to 172.17.0.9:27018 - HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:11:37.987+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.9:27018 due to HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:11:37.987+0000 I NETWORK  [listener] connection accepted from 172.17.0.10:37692 #10 (2 connections now open)
2018-12-12T11:11:37.987+0000 I REPL_HB  [replexec-1] Error in heartbeat (requestId: 26) to 172.17.0.9:27018, response status: HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:11:37.988+0000 I REPL     [replexec-0] transition to RECOVERING from STARTUP2
2018-12-12T11:11:37.988+0000 I REPL     [replexec-0] Starting replication fetcher thread
2018-12-12T11:11:37.988+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
2018-12-12T11:11:37.988+0000 I REPL     [replexec-0] Starting replication applier thread
2018-12-12T11:11:37.988+0000 I REPL     [replexec-0] Starting replication reporter thread
2018-12-12T11:11:37.988+0000 I REPL     [rsSync-0] Starting oplog application
2018-12-12T11:11:37.988+0000 I REPL     [rsSync-0] transition to SECONDARY from RECOVERING
2018-12-12T11:11:37.989+0000 I ASIO     [Replication] Failed to connect to 172.17.0.9:27018 - HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:11:37.989+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.9:27018 due to HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:11:37.990+0000 I REPL_HB  [replexec-0] Error in heartbeat (requestId: 29) to 172.17.0.9:27018, response status: HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:11:37.991+0000 I REPL     [rsSync-0] Resetting sync source to empty, which was :27017
2018-12-12T11:11:38.008+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
2018-12-12T11:11:38.008+0000 I ASIO     [Replication] Failed to connect to 172.17.0.9:27018 - HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:11:38.008+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.9:27018 due to HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:11:38.008+0000 I REPL_HB  [replexec-0] Error in heartbeat (requestId: 31) to 172.17.0.9:27018, response status: HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:11:38.008+0000 I REPL     [replexec-0] Member 172.17.0.9:27018 is now in state RS_DOWN
2018-12-12T11:11:38.009+0000 I REPL_HB  [replexec-2] Error in heartbeat (requestId: 27) to 172.17.0.10:27018, response status: NotYetInitialized: Received heartbeat while still initializing replication system
2018-12-12T11:11:38.009+0000 I REPL_HB  [replexec-0] Error in heartbeat (requestId: 34) to 172.17.0.10:27018, response status: NotYetInitialized: Received heartbeat while still initializing replication system
2018-12-12T11:11:38.010+0000 I ACCESS   [conn10] Successfully authenticated as principal __system on local
2018-12-12T11:11:38.010+0000 I REPL_HB  [replexec-1] Error in heartbeat (requestId: 35) to 172.17.0.10:27018, response status: NotYetInitialized: Received heartbeat while still initializing replication system
2018-12-12T11:11:38.010+0000 I REPL     [replexec-1] Member 172.17.0.10:27018 is now in state RS_DOWN
2018-12-12T11:11:38.010+0000 I NETWORK  [conn10] end connection 172.17.0.10:37692 (1 connection now open)
2018-12-12T11:11:38.013+0000 I NETWORK  [listener] connection accepted from 172.17.0.10:37708 #12 (2 connections now open)
2018-12-12T11:11:38.013+0000 I NETWORK  [conn12] received client metadata from 172.17.0.10:37708 conn12: { driver: { name: "NetworkInterfaceTL", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-12T11:11:38.013+0000 I NETWORK  [listener] connection accepted from 172.17.0.10:37712 #13 (3 connections now open)
2018-12-12T11:11:38.013+0000 I NETWORK  [conn13] received client metadata from 172.17.0.10:37712 conn13: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-12T11:11:38.014+0000 I ACCESS   [conn12] Successfully authenticated as principal __system on local
2018-12-12T11:11:38.014+0000 I ACCESS   [conn9] Successfully authenticated as principal __system on local
2018-12-12T11:11:38.014+0000 I NETWORK  [ShardServerCatalogCacheLoader-0] Successfully connected to 172.17.0.11:27018 (1 connections now open to 172.17.0.11:27018 with a 5 second timeout)
2018-12-12T11:11:38.014+0000 I ACCESS   [conn13] Successfully authenticated as principal __system on local
2018-12-12T11:11:38.014+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-12T11:11:38.508+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
2018-12-12T11:11:38.508+0000 I ASIO     [Replication] Failed to connect to 172.17.0.9:27018 - HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:11:38.508+0000 I ASIO     [Replication] Dropping all pooled connections to 172.17.0.9:27018 due to HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:11:38.508+0000 I REPL_HB  [replexec-2] Error in heartbeat (requestId: 38) to 172.17.0.9:27018, response status: HostUnreachable: Error connecting to 172.17.0.9:27018 :: caused by :: Connection refused
2018-12-12T11:11:38.508+0000 I ASIO     [Replication] Connecting to 172.17.0.9:27018
